scenario,uncertainty,trial,seed,method,window,hard_lower,hard_upper,smooth_score,planning_time
lane_merge,1.0,0,102026,pdstl,6,0.9865460395812988,1.0,0.7670865058898926,7.575151347002247
lane_merge,1.0,0,102026,pdstl,7,0.9878499507904053,1.0,0.8004603385925293,7.036302693995822
lane_merge,1.0,0,102026,pdstl,8,0.9879448413848877,1.0,0.7649744153022766,7.180732483000611
lane_merge,1.0,0,102026,pdstl,9,0.9883906841278076,1.0,0.7984886169433594,8.413157404997037
lane_merge,1.0,0,102026,pdstl,10,0.9894026517868042,1.0,0.7769376039505005,8.360112859001674
lane_merge,1.0,0,102026,pdstl,11,0.9891345500946045,1.0,0.7721570134162903,8.150135456002317
lane_merge,1.0,0,102026,pdstl,12,0.989431619644165,1.0,0.7739689946174622,8.182448703002592
lane_merge,1.0,0,102026,pdstl,13,0.9868714809417725,0.9923813939094543,0.8816512823104858,1.2985710850043688
lane_merge,1.0,0,102026,pdstl,14,0.9925042390823364,0.9941438436508179,0.8861848711967468,1.2952130180055974
lane_merge,1.0,0,102026,pdstl,15,0.9919842481613159,0.9935793280601501,0.8857522010803223,1.294287159005762
lane_merge,1.0,0,102026,pdstl,16,0.9914544820785522,0.9930204153060913,0.8835200071334839,1.3566703000033158
lane_merge,1.0,0,102026,pdstl,17,0.9912331104278564,0.9927648901939392,0.8812959790229797,1.3104551710057422
lane_merge,2.0,0,102026,deterministic_stl,0,0.7815446853637695,1.0,1.0368809700012207,0.549025395004719
lane_merge,2.0,0,102026,deterministic_stl,1,0.7843070030212402,1.0,1.0809423923492432,0.5470665670000017
lane_merge,2.0,0,102026,deterministic_stl,2,0.7838256359100342,1.0,1.119467854499817,0.552536561001034
lane_merge,2.0,0,102026,deterministic_stl,3,0.7873492240905762,1.0,1.1281583309173584,0.5402594600018347
lane_merge,2.0,0,102026,deterministic_stl,4,0.7897460460662842,1.0,1.129408836364746,0.5383709720044862
lane_merge,2.0,0,102026,deterministic_stl,5,0.7854318618774414,1.0,1.1241676807403564,0.5396562960013398
lane_merge,2.0,0,102026,deterministic_stl,6,0.7866336107254028,1.0,1.1270508766174316,0.5409008810020168
lane_merge,2.0,0,102026,deterministic_stl,7,0.7912386655807495,1.0,1.1238501071929932,0.5383386840039748
lane_merge,2.0,0,102026,deterministic_stl,8,0.7916079759597778,1.0,1.1197760105133057,0.5377552529971581
lane_merge,2.0,0,102026,deterministic_stl,9,0.7887399196624756,1.0,1.123708724975586,0.5386592330032727
lane_merge,2.0,0,102026,deterministic_stl,10,0.7879883050918579,1.0,1.121152639389038,0.5413571910030441
lane_merge,2.0,0,102026,deterministic_stl,11,0.7869765758514404,1.0,1.1173170804977417,0.5437935829977505
lane_merge,2.0,0,102026,deterministic_stl,12,0.7859982252120972,1.0,1.112877368927002,0.5575844620034331
lane_merge,2.0,0,102026,deterministic_stl,13,0.7899272441864014,0.8850327134132385,1.0277845859527588,0.4040325340029085
lane_merge,2.0,0,102026,deterministic_stl,14,0.7895922660827637,0.8852437138557434,1.1124296188354492,0.4068168149970006
lane_merge,2.0,0,102026,deterministic_stl,15,0.7849857807159424,0.8870453834533691,1.094459056854248,0.4072793469968019
lane_merge,2.0,0,102026,deterministic_stl,16,0.78312087059021,0.8875425457954407,1.0789064168930054,0.41115811499912525
lane_merge,2.0,0,102026,deterministic_stl,17,0.7750496864318848,0.8886922001838684,1.085553526878357,0.4125072780007031
lane_merge,2.0,0,102026,pdstl,0,0.7547644376754761,1.0,0.558617115020752,8.366088465998473
lane_merge,2.0,0,102026,pdstl,1,0.775923490524292,1.0,0.5636905431747437,8.084117529004288
lane_merge,2.0,0,102026,pdstl,2,0.7724610567092896,1.0,0.5565041303634644,8.304829796994454
lane_merge,2.0,0,102026,pdstl,3,0.7949950695037842,1.0,0.5567106008529663,8.34941600199818
lane_merge,2.0,0,102026,pdstl,4,0.7902586460113525,1.0,0.5587378740310669,8.02621532700141
lane_merge,2.0,0,102026,pdstl,5,0.7985222339630127,1.0,0.5536738634109497,8.433922607997374
lane_merge,2.0,0,102026,pdstl,6,0.7907774448394775,1.0,0.5482317805290222,8.292089194001164
lane_merge,2.0,0,102026,pdstl,7,0.798245906829834,1.0,0.5478999018669128,8.381164456004626
lane_merge,2.0,0,102026,pdstl,8,0.7973241806030273,1.0,0.5488430857658386,8.306242052000016
lane_merge,2.0,0,102026,pdstl,9,0.7977964878082275,1.0,0.5436793565750122,8.509853279996605
lane_merge,2.0,0,102026,pdstl,10,0.7988543510437012,1.0,0.5400737524032593,8.419106719004049
lane_merge,2.0,0,102026,pdstl,11,0.7983421087265015,1.0,0.5363820195198059,8.51217663600255
lane_merge,2.0,0,102026,pdstl,12,0.7986584901809692,1.0,0.5325592756271362,7.79532476899476
lane_merge,2.0,0,102026,pdstl,13,0.7990769147872925,0.8669482469558716,0.7108729481697083,1.285679713000718
lane_merge,2.0,0,102026,pdstl,14,0.798408031463623,0.8731316328048706,0.7093077898025513,1.3345745200058445
lane_merge,2.0,0,102026,pdstl,15,0.7983613014221191,0.8729447722434998,0.6990039944648743,1.3237742170022102
lane_merge,2.0,0,102026,pdstl,16,0.7983455657958984,0.8717396259307861,0.6856250166893005,1.3197666500054765
lane_merge,2.0,0,102026,pdstl,17,0.7978882789611816,0.8760777711868286,0.6732072234153748,1.3118372419994557
